symbol,horizon,horizon_h,q_long,q_short,window,test_auc,best_iter,n_trades,n_long,n_short,win_rate,avg_ret_pct,pnl_pct,sharpe
XRP/USDT,288,24.0,85,15,2,0.3652,1,6,3,3,0.3333,-1.2789,-7.6736,-0.4182
XRP/USDT,288,24.0,80,20,2,0.3652,1,7,3,4,0.5714,1.8289,12.802,0.7317
XRP/USDT,288,24.0,90,10,3,0.5214,2,6,5,1,0.3333,-1.0505,-6.3028,-0.3973
XRP/USDT,288,24.0,85,15,3,0.5214,2,6,4,2,0.6667,-0.259,-1.5539,-0.1071
XRP/USDT,288,24.0,80,20,3,0.5214,2,6,3,3,0.8333,0.5201,3.1206,0.2258
XRP/USDT,288,24.0,90,10,4,0.4128,1,6,2,4,0.6667,1.043,6.2578,0.3534
XRP/USDT,288,24.0,85,15,4,0.4128,1,6,2,4,0.5,1.6182,9.7093,0.5327
XRP/USDT,288,24.0,80,20,4,0.4128,1,6,2,4,0.5,1.6182,9.7093,0.5327
BTC/USDT,6,0.5,90,10,1,0.5057,51,151,75,76,0.2583,-0.186,-28.0811,-0.4235
BTC/USDT,6,0.5,85,15,1,0.5057,51,178,88,90,0.2416,-0.199,-35.4294,-0.4728
BTC/USDT,6,0.5,80,20,1,0.5057,51,213,103,110,0.2723,-0.1762,-37.5201,-0.4795
BTC/USDT,6,0.5,90,10,2,0.516,4,134,70,64,0.2687,-0.157,-21.0409,-0.4887
BTC/USDT,6,0.5,85,15,2,0.516,4,173,88,85,0.289,-0.1401,-24.2418,-0.4439
BTC/USDT,6,0.5,80,20,2,0.516,4,201,107,94,0.2935,-0.153,-30.7492,-0.5036
BTC/USDT,6,0.5,90,10,3,0.5131,24,146,72,74,0.3767,-0.0805,-11.7499,-0.1993
BTC/USDT,6,0.5,85,15,3,0.5131,24,185,93,92,0.3568,-0.1258,-23.2724,-0.3322
BTC/USDT,6,0.5,80,20,3,0.5131,24,216,109,107,0.3472,-0.1117,-24.1312,-0.2764
BTC/USDT,6,0.5,90,10,4,0.5363,3,134,74,60,0.4179,-0.1041,-13.9524,-0.2002
BTC/USDT,6,0.5,85,15,4,0.5363,3,165,94,71,0.4061,-0.1058,-17.4615,-0.2118
BTC/USDT,6,0.5,80,20,4,0.5363,3,193,112,81,0.399,-0.1358,-26.2178,-0.2951
BTC/USDT,12,1.0,90,10,1,0.5049,2,75,27,48,0.24,-0.1863,-13.9698,-0.4052
BTC/USDT,12,1.0,85,15,1,0.5049,2,94,34,60,0.3085,-0.1936,-18.2027,-0.357
BTC/USDT,12,1.0,80,20,1,0.5049,2,107,40,67,0.3458,-0.1803,-19.2935,-0.3587
BTC/USDT,12,1.0,90,10,2,0.5209,49,72,33,39,0.3194,-0.2153,-15.4996,-0.4854
BTC/USDT,12,1.0,85,15,2,0.5209,49,94,43,51,0.3191,-0.2187,-20.5585,-0.4743
BTC/USDT,12,1.0,80,20,2,0.5209,49,112,53,59,0.3304,-0.1959,-21.9417,-0.4211
BTC/USDT,12,1.0,90,10,3,0.5047,2,72,41,31,0.3194,-0.1727,-12.4372,-0.3699
BTC/USDT,12,1.0,85,15,3,0.5047,2,89,47,42,0.3371,-0.1269,-11.2925,-0.2494
